Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Australia,South Australia,AU-SA,17.99,64.15,95.14,95.14,opennem.org.au,false,
2023-01-01 01:00:00,Australia,South Australia,AU-SA,17.01,64.23,95.4,95.4,opennem.org.au,false,
2023-01-01 02:00:00,Australia,South Australia,AU-SA,15.85,61.86,95.74,95.74,opennem.org.au,false,
2023-01-01 03:00:00,Australia,South Australia,AU-SA,25.62,72.78,93.08,93.08,opennem.org.au,false,
2023-01-01 04:00:00,Australia,South Australia,AU-SA,42.99,93.26,88.39,88.39,opennem.org.au,false,
2023-01-01 05:00:00,Australia,South Australia,AU-SA,67.98,122.41,81.66,81.66,opennem.org.au,false,
2023-01-01 06:00:00,Australia,South Australia,AU-SA,92.2,151.74,75.08,75.08,opennem.org.au,false,
2023-01-01 07:00:00,Australia,South Australia,AU-SA,105.21,162.67,71.61,71.61,opennem.org.au,false,
2023-01-01 08:00:00,Australia,South Australia,AU-SA,115.5,169.07,68.82,68.82,opennem.org.au,false,
2023-01-01 09:00:00,Australia,South Australia,AU-SA,148.98,205.7,60.44,60.44,opennem.org.au,false,
2023-01-01 10:00:00,Australia,South Australia,AU-SA,139.37,191.32,62.54,62.54,opennem.org.au,false,
2023-01-01 11:00:00,Australia,South Australia,AU-SA,115.67,160.64,68.82,68.82,opennem.org.au,false,
2023-01-01 12:00:00,Australia,South Australia,AU-SA,118.68,164.24,68.24,68.24,opennem.org.au,false,
2023-01-01 13:00:00,Australia,South Australia,AU-SA,124.29,170.94,67.15,67.15,opennem.org.au,false,
2023-01-01 14:00:00,Australia,South Australia,AU-SA,131.66,180.73,64.97,64.97,opennem.org.au,false,
2023-01-01 15:00:00,Australia,South Australia,AU-SA,126.22,174.07,66.15,66.15,opennem.org.au,false,
2023-01-01 16:00:00,Australia,South Australia,AU-SA,125.33,173.26,66.13,66.13,opennem.org.au,false,
2023-01-01 17:00:00,Australia,South Australia,AU-SA,135.65,186.45,63.46,63.46,opennem.org.au,false,
2023-01-01 18:00:00,Australia,South Australia,AU-SA,143.71,197.04,61.16,61.16,opennem.org.au,false,
2023-01-01 19:00:00,Australia,South Australia,AU-SA,173.01,234.22,53.83,53.83,opennem.org.au,false,
2023-01-01 20:00:00,Australia,South Australia,AU-SA,178.67,244.37,52.44,52.44,opennem.org.au,false,
2023-01-01 21:00:00,Australia,South Australia,AU-SA,70.82,118.2,81.01,81.01,opennem.org.au,false,
2023-01-01 22:00:00,Australia,South Australia,AU-SA,21.19,61.19,94.33,94.33,opennem.org.au,false,
2023-01-01 23:00:00,Australia,South Australia,AU-SA,18.75,59.44,95.2,95.2,opennem.org.au,false,
